data,reservaEmergencia,amortecedor,financiamento,viagem,reformaCasa,previdencia,seguroCarro,manutencaoCarro,impostos,suricat,congelamentoSuricats,carro,macbookFirma,rendaPassiva,outros,total,delta,delta12Meses
30/12/2018,,"R$6.742,87","R$1.001,77","R$286,11","R$285,73","R$919,99","R$103,48","R$0,00","R$0,00","R$0,00",,"R$0,00",,,"R$1.945,07","R$11.285,02",,
10/01/2019,,"R$5.894,63","R$1.005,80","R$286,11","R$285,73","R$945,29","R$103,48","R$0,00","R$0,00","R$0,00",,"R$0,00",,,"R$2.000,07","R$10.521,11","-R$763,91",
07/02/2019,,"R$5.770,29","R$1.010,32","R$286,11","R$285,73","R$945,29","R$103,48","R$0,00","R$0,00","R$0,00",,"R$0,00",,,"R$2.277,59","R$10.678,81","R$157,70",
10/03/2019,,"R$6.531,85","R$1.357,06","R$764,84","R$969,63","R$1.661,09","R$650,50","R$0,00","R$0,00","R$0,00",,"R$0,00",,,"R$3.027,44","R$14.962,41","R$4.283,60",
08/04/2019,,"R$6.022,20","R$1.367,08","R$776,49","R$1.248,66","R$1.676,36","R$660,51","R$0,00","R$0,00","R$0,00",,"R$0,00",,,"R$ 1.162,98","R$12.914,28","-R$2.048,13",
09/05/2019,,"R$5.720,50","R$1.373,81","R$780,20","R$1.254,63","R$1.646,21","R$0,00","R$0,00","R$0,00","R$0,00",,"R$0,00",,,"R$ 1.239,92","R$12.015,27","-R$899,01",
12/06/2019,,"R$5.824,85","R$1.423,53","R$784,44","R$1.471,41","R$1.932,72","R$0,00","R$0,00","R$0,00","R$0,00",,"R$0,00",,,"R$ 1.182,22","R$12.619,17","R$603,90",
14/07/2019,,"R$5.940,32","R$1.431,44","R$821,39","R$1.802,92","R$2.121,06","R$0,00","R$0,00","R$0,00","R$0,00",,"R$0,00",,,"R$ 1.360,26","R$13.477,39","R$858,22",
13/08/2019,,"R$2.598,61","R$1.560,86","R$825,59","R$1.811,99","R$2.243,11","R$0,00","R$0,00","R$0,00","R$0,00",,"R$0,00",,,"R$546,51","R$9.586,68","-R$3.890,71",
09/09/2019,,"R$3.633,76","R$1.675,38","R$1.046,09","R$0,00","R$2.564,02","R$0,00","R$0,00","R$0,00","R$0,00",,"R$0,00",,,"R$524,41","R$9.443,66","-R$143,02",
09/10/2019,,"R$3.157,73","R$1.682,68","R$1.050,68","R$0,00","R$2.714,06","R$0,00","R$0,00","R$0,00","R$0,00",,"R$0,00",,,"R$444,91","R$9.050,06","-R$393,60",
10/11/2019,,"R$3.636,35","R$1.810,62","R$1.173,62","R$0,00","R$3.103,79","R$0,00","R$0,00","R$0,00","R$0,00",,"R$0,00",,,"R$351,94","R$10.076,32","R$1.026,26",
08/12/2019,,"R$5.211,60","R$2.020,89","R$1.579,02","R$201,00","R$3.687,29","R$201,00","R$0,00","R$0,00","R$0,00",,"R$0,00",,,"R$256,98","R$13.157,78","R$3.081,46","R$1.872,76"
09/01/2020,,"R$5.053,88","R$2.093,02","R$1.875,80","R$318,44","R$4.042,67","R$318,44","R$0,00","R$0,00","R$0,00",,"R$0,00",,,"R$240,31","R$13.942,56","R$784,78","R$3.421,45"
09/02/2020,,"R$5.792,70","R$2.220,53","R$2.001,49","R$560,74","R$4.384,95","R$560,74","R$0,00","R$0,00","R$0,00",,"R$0,00",,,"R$389,35","R$15.910,50","R$1.967,94","R$5.231,69"
11/03/2020,,"R$12.545,03","R$507,56","R$1.553,19","R$1.016,15","R$5.083,68","R$902,75","R$0,00","R$340,20","R$567,00",,"R$0,00",,,"R$364,70","R$22.880,26","R$6.969,76","R$7.917,85"
07/04/2020,,"R$8.667,25","R$489,10","R$1.556,80","R$1.018,51","R$4.948,81","R$904,85","R$0,00","R$340,99","R$568,32",,"R$0,00",,,"R$428,46","R$18.923,09","-R$3.957,17","R$6.008,81"
